Date,AAPL,AMZN,JPM,MSFT,SPY,XOM
2015-01-02,24.237550735473633,15.425999641418457,46.72093963623047,39.85844802856445,171.09365844726562,57.91691207885742
2015-01-05,23.55474281311035,15.10949993133545,45.270477294921875,39.49191665649414,168.00379943847656,56.332183837890625
2015-01-06,23.556964874267578,14.76449966430664,44.09665298461914,38.91229248046875,166.4213409423828,56.0327033996582
2015-01-07,23.88728141784668,14.920999526977539,44.163944244384766,39.40667724609375,168.4951934814453,56.6004753112793
2015-01-08,24.805084228515625,15.02299976348877,45.15086364746094,40.56595993041992,171.48507690429688,57.542572021484375
2015-01-09,24.831682205200195,14.846500396728516,44.36581802368164,40.2249870300293,170.11093139648438,57.46145248413086
2015-01-12,24.21980857849121,14.570500373840332,43.98452377319336,39.722068786621094,168.7783203125,56.35713195800781
2015-01-13,24.434858322143555,14.737000465393066,43.99199676513672,39.51749038696289,168.30361938476562,56.1512451171875
2015-01-14,24.34174346923828,14.66349983215332,42.47426223754883,39.176536560058594,167.28759765625,55.98902893066406
2015-01-15,23.681108474731445,14.34749984741211,41.11353302001953,38.76737976074219,165.75503540039062,55.50241470336914
2015-01-16,23.497089385986328,14.536999702453613,41.81632614135742,39.41520309448242,167.92880249023438,56.85002517700195
2015-01-20,24.102319717407227,14.472000122070312,41.651832580566406,39.54305648803711,168.28701782226562,56.831321716308594
2015-01-21,24.28632164001465,14.862500190734863,41.78642272949219,39.14243698120117,169.13653564453125,57.317970275878906
2015-01-22,24.91814422607422,15.515999794006348,43.05743408203125,40.17384719848633,171.6517333984375,57.941864013671875
2015-01-23,25.046728134155273,15.619500160217285,42.37705612182617,40.21645736694336,170.7106170654297,56.70654296875
2015-01-26,25.073331832885742,15.482999801635742,42.44434356689453,40.071556091308594,171.1103973388672,57.24934005737305
2015-01-27,24.195432662963867,15.337499618530273,42.0181884765625,36.36359786987305,168.85330200195312,56.74396896362305
2015-01-28,25.563264846801758,15.195500373840332,40.93409729003906,35.110557556152344,166.6878204345703,54.87225341796875
2015-01-29,26.359142303466797,15.58899974822998,41.62192916870117,35.80953598022461,168.22862243652344,54.641414642333984
2015-01-30,25.9733943939209,17.726499557495117,40.65745544433594,34.437156677246094,166.1132049560547,54.54159164428711
2015-02-02,26.299283981323242,18.223499298095703,41.472408294677734,35.18728256225586,168.17037963867188,55.88920211791992
2015-02-03,26.3037166595459,18.177499771118164,42.406978607177734,35.460060119628906,170.60232543945312,57.5550422668457
2015-02-04,26.505456924438477,18.237499237060547,42.152774810791016,35.66462326049805,169.95263671875,57.062156677246094
2015-02-05,26.69463539123535,18.694499969482422,42.44434356689453,36.18458557128906,171.66839599609375,57.623680114746094
2015-02-06,26.4698486328125,18.714000701904297,43.28172302246094,36.15050506591797,171.1936798095703,57.51680374145508
2015-02-09,26.645671844482422,18.527999877929688,43.22938919067383,36.10786819458008,170.42742919921875,57.55453109741211
